df shape: (19193, 1409)
training tensor data shape: torch.Size([15353, 1408])
Epoch [1/50], Reconstruction Loss: 0.7216, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [2/50], Reconstruction Loss: 0.5975, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [3/50], Reconstruction Loss: 0.5886, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [4/50], Reconstruction Loss: 0.5835, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [5/50], Reconstruction Loss: 0.5797, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [6/50], Reconstruction Loss: 0.5784, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [7/50], Reconstruction Loss: 0.5771, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [8/50], Reconstruction Loss: 0.5755, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [9/50], Reconstruction Loss: 0.5743, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [10/50], Reconstruction Loss: 0.5731, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [11/50], Reconstruction Loss: 0.5719, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [12/50], Reconstruction Loss: 0.5705, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [13/50], Reconstruction Loss: 0.5696, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [14/50], Reconstruction Loss: 0.5686, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [15/50], Reconstruction Loss: 0.5675, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [16/50], Reconstruction Loss: 0.5667, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [17/50], Reconstruction Loss: 0.5660, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [18/50], Reconstruction Loss: 0.5653, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [19/50], Reconstruction Loss: 0.5646, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [20/50], Reconstruction Loss: 0.5640, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [21/50], Reconstruction Loss: 0.5635, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [22/50], Reconstruction Loss: 0.5629, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [23/50], Reconstruction Loss: 0.5622, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [24/50], Reconstruction Loss: 0.5616, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [25/50], Reconstruction Loss: 0.5610, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
Epoch [26/50], Reconstruction Loss: 0.5606, hidden_dim: 600, learning_rate: 0.0001, batch_size: 128
